"Algorithm", "Size", "Time"
"Merge Sort", 2, 0
"Merge Sort", 4, 0
"Merge Sort", 8, 0
"Merge Sort", 16, 0
"Merge Sort", 32, 0
"Merge Sort", 64, 0
"Merge Sort", 128, 0
"Merge Sort", 256, 0
"Merge Sort", 512, 0
"Merge Sort", 1024, 2
"Merge Sort", 2048, 4
"Merge Sort", 4096, 9
"Merge Sort", 8192, 14
"Merge Sort", 16384, 12
"Merge Sort", 32768, 21
"Merge Sort", 65536, 31
"Merge Sort", 131072, 76
"Merge Sort", 262144, 145
"Merge Sort", 524288, 375
"Merge Sort", 1048576, 594
"Merge Sort", 2097152, 1503
"Merge Sort", 4194304, 3887
"Merge Sort", 8388608, 10163
"Selection Sort", 2, 0
"Selection Sort", 4, 0
"Selection Sort", 8, 0
"Selection Sort", 16, 0
"Selection Sort", 32, 0
"Selection Sort", 64, 0
"Selection Sort", 128, 0
"Selection Sort", 256, 0
"Selection Sort", 512, 2
"Selection Sort", 1024, 3
"Selection Sort", 2048, 11
"Selection Sort", 4096, 62
"Selection Sort", 8192, 223
"Selection Sort", 16384, 1798
"Selection Sort", 32768, 2934
"Selection Sort", 65536, 13166
"Quick Sort", 2, 0
"Quick Sort", 4, 0
"Quick Sort", 8, 0
"Quick Sort", 16, 0
"Quick Sort", 32, 0
"Quick Sort", 64, 0
"Quick Sort", 128, 0
"Quick Sort", 256, 0
"Quick Sort", 512, 0
"Quick Sort", 1024, 0
"Quick Sort", 2048, 1
"Quick Sort", 4096, 3
"Quick Sort", 8192, 7
"Quick Sort", 16384, 27
"Quick Sort", 32768, 33
"Quick Sort", 65536, 15
"Quick Sort", 131072, 35
"Quick Sort", 262144, 90
"Quick Sort", 524288, 197
"Quick Sort", 1048576, 438
"Quick Sort", 2097152, 1180
"Quick Sort", 4194304, 3702
"Quick Sort", 8388608, 6460
"Radix Sort", 2, 1
"Radix Sort", 4, 0
"Radix Sort", 8, 0
"Radix Sort", 16, 0
"Radix Sort", 32, 0
"Radix Sort", 64, 0
"Radix Sort", 128, 0
"Radix Sort", 256, 1
"Radix Sort", 512, 1
"Radix Sort", 1024, 1
"Radix Sort", 2048, 2
"Radix Sort", 4096, 3
"Radix Sort", 8192, 4
"Radix Sort", 16384, 7
"Radix Sort", 32768, 14
"Radix Sort", 65536, 29
"Radix Sort", 131072, 70
"Radix Sort", 262144, 163
"Radix Sort", 524288, 440
"Radix Sort", 1048576, 770
"Radix Sort", 2097152, 1526
"Radix Sort", 4194304, 2989
"Radix Sort", 8388608, 4678
